Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Pages/UserRegister/Input Email""), [""email"":""agengjobb@gmail.com""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:01,2022-10-31 20:05:02,1.019s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Password""), [""password"":""Cobain23""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:02,2022-10-31 20:05:03,1.067s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click btn Daftar""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:03,2022-10-31 20:05:04,0.888s,PASSED
delay(7),Chrome 107.0.0.0,,,2022-10-31 20:05:04,2022-10-31 20:05:11,7.016s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:11,2022-10-31 20:05:13,1.591s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Registrasi/REGIS003 - User want to register without email address,Chrome 107.0.0.0,,,2022-10-31 20:05:13,2022-10-31 20:05:33,20.030s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:13,2022-10-31 20:05:17,4.421s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:18,2022-10-31 20:05:19,1.040s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Daftar di sini""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:19,2022-10-31 20:05:20,0.817s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Nama""), [""nama"":""ageng""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:20,2022-10-31 20:05:21,1.195s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Password""), [""password"":""Cobain23""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:21,2022-10-31 20:05:22,1.007s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click btn Daftar""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:22,2022-10-31 20:05:25,2.503s,PASSED
delay(7),Chrome 107.0.0.0,,,2022-10-31 20:05:25,2022-10-31 20:05:32,7.016s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:32,2022-10-31 20:05:33,1.076s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Registrasi/REGIS004 - User want to register without password,Chrome 107.0.0.0,,,2022-10-31 20:05:33,2022-10-31 20:05:51,18.583s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:33,2022-10-31 20:05:37,4.414s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:38,2022-10-31 20:05:39,0.873s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Daftar di sini""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:39,2022-10-31 20:05:40,0.705s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Nama""), [""nama"":""ageng""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:40,2022-10-31 20:05:41,1.084s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Email""), [""email"":""agengjobb@gmail.com""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:41,2022-10-31 20:05:42,1.031s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click btn Daftar""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:42,2022-10-31 20:05:43,0.967s,PASSED
delay(7),Chrome 107.0.0.0,,,2022-10-31 20:05:43,2022-10-31 20:05:50,7.010s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:50,2022-10-31 20:05:51,1.524s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Registrasi/REGIS005 - User want register without email password,Chrome 107.0.0.0,,,2022-10-31 20:05:51,2022-10-31 20:06:09,17.626s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-10-31 20:05:51,2022-10-31 20:05:56,4.641s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:57,2022-10-31 20:05:58,0.724s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Daftar di sini""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:58,2022-10-31 20:05:58,0.828s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Nama""), [""nama"":""alwi kun""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:58,2022-10-31 20:05:59,1.033s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click btn Daftar""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:59,2022-10-31 20:06:00,0.974s,PASSED
delay(7),Chrome 107.0.0.0,,,2022-10-31 20:06:00,2022-10-31 20:06:07,7.014s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-10-31 20:06:07,2022-10-31 20:06:09,1.473s,PASSED
